date,ALTSALES YoY Log Change,CUSR0000SETA01 YoY Log Change,DSPIC96 YoY Log Change
2001-01-01,-0.048820000000000086,0.000700000000000145,0.04115999999999964
2001-02-01,-0.07969000000000026,0.0014099999999999113,0.038429999999999964
2001-03-01,-0.055010000000000225,-0.00280000000000058,0.03880999999999979
2001-04-01,-0.05364000000000013,-0.0049000000000001265,0.03171000000000035
2001-05-01,-0.05677000000000021,-0.007010000000000183,0.02579999999999849
2001-06-01,0.0015199999999997438,-0.007710000000000328,0.023350000000000648
2001-07-01,-0.044159999999999755,-0.008410000000000473,0.03282000000000096
2001-08-01,-0.06490000000000018,-0.011230000000000295,0.043110000000000426
2001-09-01,-0.1278100000000002,-0.009149999999999991,0.033319999999999794
2001-10-01,0.23765999999999998,-0.0042200000000001125,0.012600000000000833
2001-11-01,0.0863299999999998,-0.0007099999999997664,0.01334000000000124
2001-12-01,0.019760000000000222,-0.000700000000000145,0.013149999999999551
2002-01-01,-0.06162000000000001,-0.007039999999999935,0.02923999999999971
2002-02-01,-0.024849999999999817,-0.015570000000000306,0.02970999999999968
2002-03-01,-0.004759999999999653,-0.015579999999999927,0.027380000000000848
2002-04-01,0.04795000000000016,-0.016300000000000203,0.03279000000000032
2002-05-01,-0.040750000000000064,-0.01701999999999959,0.03858000000000139
2002-06-01,-0.028339999999999588,-0.01774999999999949,0.04122999999999877
2002-07-01,0.10057999999999989,-0.01774999999999949,0.023849999999999483
2002-08-01,0.12259999999999982,-0.015659999999999563,0.007550000000000168
2002-09-01,0.016680000000000028,-0.010660000000000558,0.01713999999999949
2002-10-01,-0.30996999999999986,-0.011370000000000324,0.03765999999999892
2002-11-01,-0.09027999999999992,-0.01487000000000016,0.039220000000000255
2002-12-01,0.08577000000000012,-0.019129999999999647,0.04007000000000005
2003-01-01,0.012620000000000076,-0.021430000000000504,0.018440000000000012
2003-02-01,-0.07261000000000006,-0.01436999999999955,0.013429999999999609
2003-03-01,-0.03732000000000024,-0.01004999999999967,0.014829999999999899
2003-04-01,-0.05390000000000006,-0.01220999999999961,0.016739999999998645
2003-05-01,0.01924999999999999,-0.01223000000000063,0.02009999999999934
2003-06-01,0.0035999999999996035,-0.012980000000000658,0.019750000000000156
2003-07-01,-0.060820000000000096,-0.014430000000000831,0.034250000000000114
2003-08-01,-0.00965999999999978,-0.010100000000000442,0.040919999999999845
2003-09-01,0.037209999999999965,-0.01658000000000026,0.02848000000000006
2003-10-01,0.013729999999999798,-0.020929999999999893,0.029620000000001312
2003-11-01,0.06003000000000025,-0.02092000000000027,0.032890000000000086
2003-12-01,-0.034760000000000346,-0.01877000000000084,0.03098000000000134
2004-01-01,-0.007460000000000022,-0.012349999999999639,0.0313200000000009
2004-02-01,0.05054999999999987,-0.006529999999999703,0.03650999999999982
2004-03-01,0.040240000000000276,-0.010139999999999816,0.038429999999999964
2004-04-01,0.003649999999999931,-0.0072599999999996,0.03658000000000072
2004-05-01,0.0948500000000001,-0.0043600000000001415,0.03420000000000023
2004-06-01,-0.05702999999999969,-0.0007199999999993878,0.03218000000000032
2004-07-01,0.005530000000000257,-0.005829999999999558,0.02243999999999957
2004-08-01,-0.07010000000000005,-0.015329999999999622,0.01861000000000068
2004-09-01,0.028340000000000032,-0.011699999999999378,0.03049999999999997
2004-10-01,0.055010000000000225,-0.005119999999999791,0.026969999999998606
2004-11-01,-0.016710000000000225,0.002909999999999968,0.017739999999999867
2004-12-01,0.03669000000000011,0.006540000000000212,0.052989999999999426
2005-01-01,0.004040000000000266,0.012349999999999639,0.0157399999999992
2005-02-01,-0.013989999999999725,0.00941999999999954,0.014170000000000016
2005-03-01,0.005509999999999682,0.0072599999999996,0.013689999999998648
2005-04-01,0.04626000000000019,0.0072599999999996,0.01343999999999923
2005-05-01,-0.04791999999999996,0.00869000000000053,0.012750000000000483
2005-06-01,0.13099999999999978,0.006509999999999572,0.014139999999999375
2005-07-01,0.20008999999999988,0.003650000000000375,0.012959999999999638
2005-08-01,0.011890000000000178,0.004399999999999515,0.011519999999999087
2005-09-01,-0.05937999999999999,0.008059999999999512,0.007559999999999789
2005-10-01,-0.13870000000000005,0.009490000000000443,0.01287000000000127
2005-11-01,-0.054059999999999775,0.0007300000000007856,0.022330000000000183
2005-12-01,-0.05473999999999979,-0.0043600000000001415,-0.010669999999999291
2006-01-01,0.0708599999999997,-0.0036199999999997345,0.03719000000000072
2006-02-01,0.006809999999999761,-0.003610000000000113,0.04133000000000031
2006-03-01,-0.031260000000000066,-0.0029000000000003467,0.04161000000000037
2006-04-01,-0.04173000000000027,-0.0029000000000003467,0.038200000000001566
2006-05-01,-0.045809999999999906,-0.007229999999999848,0.03326999999999991
2006-06-01,-0.09418999999999977,-0.006509999999999572,0.03255000000000052
2006-07-01,-0.1850900000000002,0.003629999999999356,0.03110000000000035
2006-08-01,-0.06194000000000033,0.00802999999999976,0.028669999999999973
2006-09-01,-0.0004900000000001015,0.0036399999999998656,0.03754999999999953
2006-10-01,0.09471000000000007,-0.0021800000000000708,0.03651999999999944
2006-11-01,0.006599999999999717,-0.008020000000000138,0.03433999999999848
2006-12-01,-0.007160000000000277,-0.00802999999999976,0.03604999999999947
