date,value
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,11.55475
2011-01-01,11.71125
2011-02-01,11.936833333333333
2011-03-01,12.056083333333333
2011-04-01,12.205083333333334
2011-05-01,12.218333333333334
2011-06-01,12.234666666666667
2011-07-01,12.293333333333331
2011-08-01,12.332916666666668
2011-09-01,12.443166666666665
2011-10-01,12.542500000000002
2011-11-01,12.653833333333331
2011-12-01,12.743166666666667
2012-01-01,12.869083333333334
2012-02-01,13.019250000000001
2012-03-01,13.123666666666667
2012-04-01,13.237916666666665
2012-05-01,13.417499999999999
2012-06-01,13.628916666666667
2012-07-01,13.762916666666667
2012-08-01,13.914166666666667
2012-09-01,14.058583333333333
2012-10-01,14.152166666666666
2012-11-01,14.295833333333334
2012-12-01,14.434666666666667
2013-01-01,14.552666666666667
2013-02-01,14.627583333333332
2013-03-01,14.725499999999998
2013-04-01,14.812416666666666
2013-05-01,14.929249999999998
2013-06-01,15.06725
2013-07-01,15.204500000000001
2013-08-01,15.320666666666666
2013-09-01,15.382916666666667
2013-10-01,15.452916666666667
2013-11-01,15.501583333333334
2013-12-01,15.530083333333332
2014-01-01,15.511333333333333
2014-02-01,15.519750000000002
2014-03-01,15.619250000000001
2014-04-01,15.688333333333334
2014-05-01,15.788333333333334
2014-06-01,15.900916666666667
2014-07-01,15.999
2014-08-01,16.109166666666667
2014-09-01,16.19425
2014-10-01,16.27525
2014-11-01,16.344416666666667
2014-12-01,16.452250000000003
2015-01-01,16.554333333333336
2015-02-01,16.624666666666666
2015-03-01,16.69575
2015-04-01,16.7765
2015-05-01,16.83908333333333
2015-06-01,16.862083333333334
2015-07-01,16.943416666666668
2015-08-01,17.03775
2015-09-01,17.146583333333332
2015-10-01,17.27091666666667
2015-11-01,17.38083333333333
2015-12-01,17.407833333333333
2016-01-01,17.5025
2016-02-01,17.60075
2016-03-01,17.548000000000002
2016-04-01,17.547833333333333
2016-05-01,17.531166666666667
2016-06-01,17.525583333333334
2016-07-01,17.518666666666665
2016-08-01,17.48541666666667
2016-09-01,17.463833333333334
2016-10-01,17.446166666666667
2016-11-01,17.4085
2016-12-01,17.47725
2017-01-01,17.45058333333333
2017-02-01,17.423416666666668
2017-03-01,17.40925
2017-04-01,17.369583333333335
2017-05-01,17.31758333333333
2017-06-01,17.264999999999997
2017-07-01,17.189833333333333
2017-08-01,17.112583333333333
2017-09-01,17.139166666666668
2017-10-01,17.176916666666667
2017-11-01,17.1885
2017-12-01,17.150083333333335
2018-01-01,17.10466666666667
2018-02-01,17.076333333333334
2018-03-01,17.121333333333332
2018-04-01,17.150166666666667
2018-05-01,17.206666666666667
2018-06-01,17.25225
2018-07-01,17.276833333333332
2018-08-01,17.31266666666667
2018-09-01,17.261583333333334
2018-10-01,17.212416666666666
2018-11-01,17.212583333333335
2018-12-01,17.22491666666667
2019-01-01,17.199166666666667
2019-02-01,17.155666666666665
2019-03-01,17.1675
2019-04-01,17.107000000000003
2019-05-01,17.111666666666668
2019-06-01,17.11225
2019-07-01,17.109083333333334
2019-08-01,17.134249999999998
2019-09-01,17.124333333333333
2019-10-01,17.046083333333332
2019-11-01,17.008166666666668
2019-12-01,16.961
2020-01-01,16.959666666666667
2020-02-01,16.97775
2020-03-01,16.486583333333332
2020-04-01,15.834916666666667
2020-05-01,15.405416666666667
2020-06-01,15.065833333333332
2020-07-01,14.874416666666669
2020-08-01,14.733583333333334
2020-09-01,14.65975
2020-10-01,14.624916666666666
2020-11-01,14.519333333333334
2020-12-01,14.472000000000001
2021-01-01,14.454666666666666
2021-02-01,14.372333333333332
2021-03-01,14.914333333333332
2021-04-01,15.707666666666666
2021-05-01,16.106916666666667
2021-06-01,16.307
2021-07-01,16.302249999999997
2021-08-01,16.118750000000002
2021-09-01,15.788166666666667
2021-10-01,15.504833333333336
2021-11-01,15.263333333333334
2021-12-01,14.946916666666667
2022-01-01,14.799833333333334
2022-02-01,14.638166666666665
2022-03-01,14.289583333333333
2022-04-01,13.962083333333334
2022-05-01,13.611916666666668
2022-06-01,13.425833333333335
2022-07-01,13.312750000000001
2022-08-01,13.332833333333333
2022-09-01,13.443750000000001
2022-10-01,13.600583333333333
2022-11-01,13.695666666666668
2022-12-01,13.754333333333333
2023-01-01,13.813166666666666
2023-02-01,13.913833333333335
2023-03-01,14.027416666666666
2023-04-01,14.168833333333332
2023-05-01,14.381916666666667
2023-06-01,14.608666666666666
2023-07-01,14.810583333333334
2023-08-01,14.96575
2023-09-01,15.137666666666666
2023-10-01,15.194
2023-11-01,15.296833333333332
2023-12-01,15.5025
2024-01-01,15.495833333333335
2024-02-01,15.563916666666666
2024-03-01,15.614500000000001
2024-04-01,15.623166666666668
2024-05-01,15.663333333333334
2024-06-01,15.59975
2024-07-01,15.60125
2024-08-01,15.593833333333334
2024-09-01,15.605166666666667
2024-10-01,15.673666666666668
2024-11-01,15.77425
2024-12-01,15.858416666666669
2025-01-01,15.891833333333333
2025-02-01,15.910916666666667
2025-03-01,16.08908333333333
2025-04-01,16.187166666666666
2025-05-01,16.165583333333334
2025-06-01,16.207416666666667
2025-07-01,16.267166666666665
2025-08-01,16.354499999999998
2025-09-01,16.39125
2025-10-01,16.33925
2025-11-01,16.278166666666667
2025-12-01,16.215249999999997
