date,value
2019-06-01,2.84822
2019-07-01,2.83902
2019-08-01,2.85336
2019-09-01,2.84264
2019-10-01,2.80518
2019-11-01,2.8389
2019-12-01,2.8348
2020-01-01,2.7985
2020-02-01,2.81355
2020-03-01,2.43747
2020-04-01,2.14838
2020-05-01,2.50504
2020-06-01,2.57885
2020-07-01,2.69476
2020-08-01,2.75085
2020-09-01,2.78963
2020-10-01,2.77956
2020-11-01,2.76191
2020-12-01,2.80087
2021-01-01,2.78575
2021-02-01,2.75245
2021-03-01,2.88748
2021-04-01,2.89541
2021-05-01,2.83527
2021-06-01,2.74618
2021-07-01,2.6909
2021-08-01,2.59928
2021-09-01,2.51025
2021-10-01,2.54255
2021-11-01,2.5597
2021-12-01,2.53861
2022-01-01,2.67049
2022-02-01,2.62038
2022-03-01,2.62213
2022-04-01,2.65049
2022-05-01,2.55202
2022-06-01,2.59152
2022-07-01,2.59436
2022-08-01,2.61703
2022-09-01,2.61293
2022-10-01,2.68061
2022-11-01,2.64426
2022-12-01,2.59271
2023-01-01,2.7182
2023-02-01,2.70464
2023-03-01,2.71655
2023-04-01,2.76367
2023-05-01,2.73372
2023-06-01,2.77702
2023-07-01,2.76071
2023-08-01,2.74451
2023-09-01,2.75379
2023-10-01,2.72589
2023-11-01,2.72831
2023-12-01,2.76216
2024-01-01,2.71291
2024-02-01,2.75786
2024-03-01,2.75589
2024-04-01,2.77021
2024-05-01,2.76456
2024-06-01,2.72838
2024-07-01,2.76184
2024-08-01,2.73877
2024-09-01,2.76241
2024-10-01,2.77832
2024-11-01,2.80421
2024-12-01,2.82399
2025-01-01,2.73916
2025-02-01,2.77228
2025-03-01,2.88329
2025-04-01,2.84136
2025-05-01,2.7481
2025-06-01,2.76064
2025-07-01,2.80614
2025-08-01,2.80433
2025-09-01,2.78988
2025-10-01,2.73877
2025-11-01,2.75881
2025-12-01,2.77814
