date,value
2022-03-01,5.12778
2022-04-01,5.13314
2022-05-01,5.14058
2022-06-01,5.1461
2022-07-01,5.15128
2022-08-01,5.15907
2022-09-01,5.16507
2022-10-01,5.17113
2022-11-01,5.1751
2022-12-01,5.17958
2023-01-01,5.1816
2023-02-01,5.18365
2023-03-01,5.18696
2023-04-01,5.18612
2023-05-01,5.18614
2023-06-01,5.18587
2023-07-01,5.18583
2023-08-01,5.18792
2023-09-01,5.19011
2023-10-01,5.18967
2023-11-01,5.18848
2023-12-01,5.18947
2024-01-01,5.18891
2024-02-01,5.18798
2024-03-01,5.18628
2024-04-01,5.1827
2024-05-01,5.17852
2024-06-01,5.17699
2024-07-01,5.17556
2024-08-01,5.17587
2024-09-01,5.17714
2024-10-01,5.17695
2024-11-01,5.18164
2024-12-01,5.18526
2025-01-01,5.18561
2025-02-01,5.18487
2025-03-01,5.18584
2025-04-01,5.18576
2025-05-01,5.18284
2025-06-01,5.17947
2025-07-01,5.17965
2025-08-01,5.18241
2025-09-01,5.18464
2025-10-01,5.18572
2025-11-01,5.18783
2025-12-01,5.18797
